carname,make,model,year,kilometersdriven,fueltype,transmission,location,city,price,price_lakhs,listingurl,imageurl,source
2017 Datsun Redi Go,datsun,redi go,2017,78773.0,Petrol,manual,ahmedabad,ahmedabad,1.34 Lakh,1.34,https://www.cars24.com/buy-used-datsun-redi-go-2017-cars-ahmedabad-15044162737/,,Cars24
2015 Hyundai Verna,hyundai,verna,2015,99607.0,Diesel,manual,ahmedabad,ahmedabad,3.58 Lakh,3.58,https://www.cars24.com/buy-used-hyundai-verna-2015-cars-ahmedabad-11435368734/,,Cars24
2016 Hyundai Grand i10,hyundai,grand i10,2016,148332.0,Diesel,manual,ahmedabad,ahmedabad,2.57 Lakh,2.57,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-ahmedabad-11472760749/,,Cars24
2014 Hyundai i10,hyundai,i10,2014,53673.0,Petrol,manual,ahmedabad,ahmedabad,2.20 Lakh,2.2,https://www.cars24.com/buy-used-hyundai-i10-2014-cars-ahmedabad-11470766780/,,Cars24
2019 Jeep Compass,jeep,compass,2019,74727.0,Petrol,auto,ahmedabad,ahmedabad,6.54 Lakh,6.54,https://www.cars24.com/buy-used-jeep-compass-2019-cars-ahmedabad-11475263750/,,Cars24
2018 Datsun Redi Go,datsun,redi go,2018,44363.0,Petrol,auto,ahmedabad,ahmedabad,1.77 Lakh,1.77,https://www.cars24.com/buy-used-datsun-redi-go-2018-cars-ahmedabad-11474668723/,,Cars24
2023 Skoda SLAVIA,skoda,slavia,2023,40443.0,Petrol,manual,ahmedabad,ahmedabad,7.67 Lakh,7.67,https://www.cars24.com/buy-used-skoda-slavia-2023-cars-ahmedabad-11498960739/,,Cars24
2021 Hyundai Creta,hyundai,creta,2021,80715.0,Petrol,auto,ahmedabad,ahmedabad,9.55 Lakh,9.55,https://www.cars24.com/buy-used-hyundai-creta-2021-cars-ahmedabad-11473965747/,,Cars24
2017 Ford Figo Aspire,ford,figo aspire,2017,89994.0,Petrol,manual,ahmedabad,ahmedabad,2.81 Lakh,2.81,https://www.cars24.com/buy-used-ford-figo-aspire-2017-cars-ahmedabad-11444505767/,,Cars24
2016 Maruti Ciaz,maruti,ciaz,2016,119955.0,Petrol,manual,ahmedabad,ahmedabad,3.40 Lakh,3.4,https://www.cars24.com/buy-used-maruti-ciaz-2016-cars-ahmedabad-11430967721/,,Cars24
2019 Honda Civic,honda,civic,2019,44164.0,Petrol,auto,ahmedabad,ahmedabad,8.99 Lakh,8.99,https://www.cars24.com/buy-used-honda-civic-2019-cars-ahmedabad-11402465744/,,Cars24
2019 Hyundai Grand i10,hyundai,grand i10,2019,112093.0,Cng,manual,ahmedabad,ahmedabad,3.42 Lakh,3.42,https://www.cars24.com/buy-used-hyundai-grand-i10-2019-cars-ahmedabad-11420765770/,,Cars24
2021 Maruti XL6,maruti,xl6,2021,80203.0,Petrol,manual,ahmedabad,ahmedabad,7.09 Lakh,7.09,https://www.cars24.com/buy-used-maruti-xl6-2021-cars-ahmedabad-13550101701/,,Cars24
2020 KIA SELTOS,kia,seltos,2020,147864.0,Diesel,manual,ahmedabad,ahmedabad,7.74 Lakh,7.74,https://www.cars24.com/buy-used-kia-seltos-2020-cars-ahmedabad-11471265791/,,Cars24
2014 Hyundai Grand i10,hyundai,grand i10,2014,71989.0,Petrol,manual,ahmedabad,ahmedabad,2.23 Lakh,2.23,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-ahmedabad-11420567787/,,Cars24
2023 Hyundai NEW I20,hyundai,new i20,2023,96837.0,Petrol,manual,ahmedabad,ahmedabad,5.60 Lakh,5.6,https://www.cars24.com/buy-used-hyundai-new-i20-2023-cars-ahmedabad-28393162719/,,Cars24
2016 Hyundai Elite i20,hyundai,elite i20,2016,85621.0,Petrol,manual,ahmedabad,ahmedabad,3.91 Lakh,3.91,https://www.cars24.com/buy-used-hyundai-elite-i20-2016-cars-ahmedabad-24463809760/,,Cars24
2018 Maruti Vitara Brezza,maruti,vitara brezza,2018,134765.0,Diesel,auto,ahmedabad,ahmedabad,5.02 Lakh,5.02,https://www.cars24.com/buy-used-maruti-vitara-brezza-2018-cars-ahmedabad-28322369759/,,Cars24
2021 Tata Safari,tata,safari,2021,60068.0,Diesel,manual,ahmedabad,ahmedabad,9.49 Lakh,9.49,https://www.cars24.com/buy-used-tata-safari-2021-cars-ahmedabad-24435766758/,,Cars24
2014 Maruti Celerio,maruti,celerio,2014,73177.0,Cng,manual,ahmedabad,ahmedabad,2.36 Lakh,2.36,https://www.cars24.com/buy-used-maruti-celerio-2014-cars-ahmedabad-25477661747/,,Cars24
2020 Honda Amaze,honda,amaze,2020,73548.0,Diesel,auto,ahmedabad,ahmedabad,5.29 Lakh,5.29,https://www.cars24.com/buy-used-honda-amaze-2020-cars-ahmedabad-25498660720/,,Cars24
2016 Ford Ecosport,ford,ecosport,2016,102703.0,Diesel,manual,ahmedabad,ahmedabad,3.08 Lakh,3.08,https://www.cars24.com/buy-used-ford-ecosport-2016-cars-ahmedabad-25492065758/,,Cars24
2016 Renault Kwid,renault,kwid,2016,90905.0,Petrol,manual,ahmedabad,ahmedabad,1.60 Lakh,1.6,https://www.cars24.com/buy-used-renault-kwid-2016-cars-ahmedabad-11483663730/,,Cars24
2021 Maruti New Wagon-R,maruti,new wagon-r,2021,65482.0,Petrol,manual,ahmedabad,ahmedabad,3.77 Lakh,3.77,https://www.cars24.com/buy-used-maruti-new-wagon-r-2021-cars-ahmedabad-11429568735/,,Cars24
2014 Hyundai i10,hyundai,i10,2014,81538.0,Petrol,manual,ahmedabad,ahmedabad,1.80 Lakh,1.8,https://www.cars24.com/buy-used-hyundai-i10-2014-cars-ahmedabad-11404866756/,,Cars24
2022 Tata TIGOR,tata,tigor,2022,29522.0,Petrol,manual,ahmedabad,ahmedabad,4.95 Lakh,4.95,https://www.cars24.com/buy-used-tata-tigor-2022-cars-ahmedabad-11445861705/,,Cars24
2021 Maruti Baleno,maruti,baleno,2021,74491.0,Cng,manual,ahmedabad,ahmedabad,5.08 Lakh,5.08,https://www.cars24.com/buy-used-maruti-baleno-2021-cars-ahmedabad-15064563790/,,Cars24
2013 Hyundai i20,hyundai,i20,2013,44454.0,Petrol,manual,ahmedabad,ahmedabad,2.50 Lakh,2.5,https://www.cars24.com/buy-used-hyundai-i20-2013-cars-ahmedabad-11482402737/,,Cars24
2025 Hyundai Verna,hyundai,verna,2025,6235.0,Petrol,auto,ahmedabad,ahmedabad,13.13 Lakh,13.13,https://www.cars24.com/buy-used-hyundai-verna-2025-cars-ahmedabad-11465761705/,,Cars24
2022 Hyundai Verna,hyundai,verna,2022,98461.0,Petrol,manual,ahmedabad,ahmedabad,8.01 Lakh,8.01,https://www.cars24.com/buy-used-hyundai-verna-2022-cars-ahmedabad-11414966742/,,Cars24
2012 Hyundai i10,hyundai,i10,2012,105771.0,Cng,manual,ahmedabad,ahmedabad,1.56 Lakh,1.56,https://www.cars24.com/buy-used-hyundai-i10-2012-cars-ahmedabad-11450367712/,,Cars24
2015 Maruti Swift Dzire,maruti,swift dzire,2015,98134.0,Petrol,manual,ahmedabad,ahmedabad,2.60 Lakh,2.6,https://www.cars24.com/buy-used-maruti-swift-dzire-2015-cars-ahmedabad-10467464716/,,Cars24
2019 Maruti IGNIS,maruti,ignis,2019,85452.0,Cng,auto,ahmedabad,ahmedabad,4.27 Lakh,4.27,https://www.cars24.com/buy-used-maruti-ignis-2019-cars-ahmedabad-11447167702/,,Cars24
2023 Tata Harrier,tata,harrier,2023,45493.0,Diesel,manual,ahmedabad,ahmedabad,9.90 Lakh,9.9,https://www.cars24.com/buy-used-tata-harrier-2023-cars-ahmedabad-38612705710/,,Cars24
2018 Renault Kwid,renault,kwid,2018,99273.0,Petrol,manual,ahmedabad,ahmedabad,1.89 Lakh,1.89,https://www.cars24.com/buy-used-renault-kwid-2018-cars-ahmedabad-14261060753/,,Cars24
2016 Ford Ecosport,ford,ecosport,2016,118335.0,Diesel,manual,ahmedabad,ahmedabad,3.51 Lakh,3.51,https://www.cars24.com/buy-used-ford-ecosport-2016-cars-ahmedabad-11433461741/,,Cars24
2022 Renault Kiger,renault,kiger,2022,70240.0,Cng,manual,ahmedabad,ahmedabad,4.34 Lakh,4.34,https://www.cars24.com/buy-used-renault-kiger-2022-cars-ahmedabad-15034400739/,,Cars24
2017 Tata Tiago,tata,tiago,2017,105773.0,Petrol,manual,ahmedabad,ahmedabad,2.50 Lakh,2.5,https://www.cars24.com/buy-used-tata-tiago-2017-cars-ahmedabad-36416666720/,,Cars24
2020 Tata Tiago,tata,tiago,2020,70635.0,Petrol,auto,ahmedabad,ahmedabad,3.78 Lakh,3.78,https://www.cars24.com/buy-used-tata-tiago-2020-cars-ahmedabad-11469006708/,,Cars24
2019 Tata Tiago,tata,tiago,2019,98080.0,Petrol,manual,ahmedabad,ahmedabad,2.99 Lakh,2.99,https://www.cars24.com/buy-used-tata-tiago-2019-cars-ahmedabad-11465268731/,,Cars24
2018 Mahindra MARAZZO,mahindra,marazzo,2018,78514.0,Diesel,manual,ahmedabad,ahmedabad,5.12 Lakh,5.12,https://www.cars24.com/buy-used-mahindra-marazzo-2018-cars-ahmedabad-28391768724/,,Cars24
2016 Renault Kwid,renault,kwid,2016,81528.0,Petrol,manual,ahmedabad,ahmedabad,1.78 Lakh,1.78,https://www.cars24.com/buy-used-renault-kwid-2016-cars-ahmedabad-11419443799/,,Cars24
2017 Honda Amaze,honda,amaze,2017,71669.0,Petrol,manual,ahmedabad,ahmedabad,3.01 Lakh,3.01,https://www.cars24.com/buy-used-honda-amaze-2017-cars-ahmedabad-20654860726/,,Cars24
2019 Mahindra XUV300,mahindra,xuv300,2019,94072.0,Diesel,manual,ahmedabad,ahmedabad,5.26 Lakh,5.26,https://www.cars24.com/buy-used-mahindra-xuv300-2019-cars-ahmedabad-11417368749/,,Cars24
2014 Hyundai i10,hyundai,i10,2014,58777.0,Cng,manual,ahmedabad,ahmedabad,2.30 Lakh,2.3,https://www.cars24.com/buy-used-hyundai-i10-2014-cars-ahmedabad-11412963747/,,Cars24
2024 Mahindra Thar,mahindra,thar,2024,50778.0,Diesel,auto,ahmedabad,ahmedabad,11.87 Lakh,11.87,https://www.cars24.com/buy-used-mahindra-thar-2024-cars-ahmedabad-11458862728/,,Cars24
2021 Mahindra XUV300,mahindra,xuv300,2021,42703.0,Cng,auto,ahmedabad,ahmedabad,6.38 Lakh,6.38,https://www.cars24.com/buy-used-mahindra-xuv300-2021-cars-ahmedabad-11457164750/,,Cars24
2018 Datsun Go,datsun,go,2018,15519.0,Petrol,manual,ahmedabad,ahmedabad,1.87 Lakh,1.87,https://www.cars24.com/buy-used-datsun-go-2018-cars-ahmedabad-11400569753/,,Cars24
2015 Honda City,honda,city,2015,106188.0,Diesel,manual,ahmedabad,ahmedabad,3.85 Lakh,3.85,https://www.cars24.com/buy-used-honda-city-2015-cars-ahmedabad-11487860796/,,Cars24
2020 Maruti Baleno,maruti,baleno,2020,62764.0,Petrol,manual,ahmedabad,ahmedabad,4.95 Lakh,4.95,https://www.cars24.com/buy-used-maruti-baleno-2020-cars-ahmedabad-11430964750/,,Cars24
2018 Ford Ecosport,ford,ecosport,2018,94689.0,Petrol,auto,ahmedabad,ahmedabad,4.56 Lakh,4.56,https://www.cars24.com/buy-used-ford-ecosport-2018-cars-ahmedabad-11475264728/,,Cars24
2017 Maruti Alto 800,maruti,alto 800,2017,57139.0,Cng,manual,ahmedabad,ahmedabad,2.41 Lakh,2.41,https://www.cars24.com/buy-used-maruti-alto-800-2017-cars-ahmedabad-11444167737/,,Cars24
